# Constructed from biom file																																			
#OTU ID	B46	B23	B74	B67	B26	B07	B15	B39	B35	B70	B60	B40	B36	B47	B45	B59	B02	B06	B68	B50	B32	B77	B76	B106	B79	B99	B94	B101	B86	B44	B88	B20	B27	B89	taxonomy
OTU_6	340	4638	2213	1877	488	518	2088	1894	1978	190	4143	390	947	1416	901	7487	1607	1096	647	918	797	1752	2197	1491	555	794	4859	816	1646	1524	837	1004	769	1042	k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria
OTU_740	2	0	0	0	0	0	4	1	5	0	0	7	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	k__BLAST; p__; c__; o__; f__; g__; s__uncultured fungus
OTU_1058	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	5	k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Microascales; f__Microascaceae
OTU_422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales
OTU_316	0	0	0	0	0	0	2	0	1	0	3	15	1	3	0	2	0	0	0	3	0	0	6	0	0	0	3	0	1	6	0	2	2	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Incertae sedis; g__Wickerhamomyces; s__Wickerhamomyces anomalus
OTU_95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__BLAST; p__; c__; o__Tritrichomonadida; f__Tritrichomonadidae; g__Tritrichomonas; s__Tritrichomonas muris
OTU_7650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia sympodialis
OTU_311	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	498	110	0	0	0	0	0	0	0	0	0	1	15	0	0	0	k__Fungi; p__Basidiomycota; c__Incertae sedis; o__Malasseziales; f__Malasseziaceae; g__Malassezia; s__Malassezia pachydermatis
OTU_182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	12	0	0	0	0	k__Fungi; p__Ascomycota; c__Saccharomycetes; o__Saccharomycetales; f__Saccharomycetaceae; g__Kluyveromyces
OTU_125	0	0	19	2	0	3	1	0	9	0	0	9	0	0	0	0	1	0	3	21	1	25	28	3	0	0	1	33	2	5	2	9	2	5	k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Eurotiales; f__Trichocomaceae; g__Penicillium
